"Start","End","ticker_symbol","ticker_price","ticker_compname","ticker_min","ticker_max","ticker_fct"
"09.01.2000 1:0:0","29.01.2000 1:0:0","NMN","3.875","NEMATRON CORP","2.75","3.375","1.2272727272727273"
"09.01.2000 1:0:0","29.01.2000 1:0:0","NSIL","19.125","NETSILICON INC","16.375","19.75","1.2061068702290076"
"09.01.2000 1:0:0","29.01.2000 1:0:0","NTAP","88.625","NETWORK APPLIANCE INC","70.0625","85.0","1.2132024977698483"
"09.01.2000 1:0:0","29.01.2000 1:0:0","NCDI","4.625","NETWORK COMPUTING DEVICES INC","4.625","7.875","1.7027027027027026"
"09.01.2000 1:0:0","29.01.2000 1:0:0","TNCX","7.8125","NETWORK CONNECTION INC","5.375","7.3125","1.3604651162790697"
"09.01.2000 1:0:0","29.01.2000 1:0:0","OBAS","29.5","OPTIBASE LTD","28.0","33.75","1.2053571428571428"
"09.01.2000 1:0:0","29.01.2000 1:0:0","OVRL","9.9375","OVERLAND DATA INC","7.5","9.75","1.3"
"09.01.2000 1:0:0","29.01.2000 1:0:0","PERL","11.375","PERLE SYSTEMS LTD","9.0","11.75","1.3055555555555556"
"09.01.2000 1:0:0","29.01.2000 1:0:0","PRCM","23.0","PROCOM TECHNOLOGY INC","20.0","24.25","1.2125"
"09.01.2000 1:0:0","29.01.2000 1:0:0","AQM","4.3125","Q M S INC","2.875","4.4375","1.5434782608695652"
"09.01.2000 1:0:0","29.01.2000 1:0:0","RDWR","47.0","RADWARE LTD","44.875","55.3125","1.232590529247911"
"09.01.2000 1:0:0","29.01.2000 1:0:0","SNDK","86.25","SANDISK CORP","78.625","95.375","1.2130365659777425"
"09.01.2000 1:0:0","29.01.2000 1:0:0","SOCR","3.25","SCAN OPTICS INC","1.5625","1.96875","1.26"
"09.01.2000 1:0:0","29.01.2000 1:0:0","SILCF","6.15625","SILICOM LTD","4.875","5.9375","1.2179487179487178"
"09.01.2000 1:0:0","29.01.2000 1:0:0","SCCO","1.9375","SMITH CORONA CORP","1.375","1.75","1.2727272727272727"
"09.01.2000 1:0:0","29.01.2000 1:0:0","SOS","6.5","STORAGE COMPUTER CORP","3.3125","6.0","1.8113207547169812"
"09.01.2000 1:0:0","29.01.2000 1:0:0","SBL","54.3125","SYMBOL TECHNOLOGIES INC","52.8125","63.5","1.2023668639053255"
"09.01.2000 1:0:0","29.01.2000 1:0:0","ULTR","1.3125","ULTRADATA SYSTEMS INC","1.0625","1.375","1.2941176470588236"
"09.01.2000 1:0:0","29.01.2000 1:0:0","VLAB","3.9375","VIDEOLABS INC","2.75","3.75","1.3636363636363635"
"09.01.2000 1:0:0","29.01.2000 1:0:0","WDC","5.0","WESTERN DIGITAL CORP","3.9375","5.625","1.4285714285714286"
"09.01.2000 1:0:0","29.01.2000 1:0:0","XIRC","65.5","XIRCOM INC","58.3125","70.40625","1.207395498392283"
"09.01.2000 1:0:0","29.01.2000 1:0:0","KOOL","2.90625","THERMOGENESIS CORP","2.21875","2.6875","1.2112676056338028"
"09.01.2000 1:0:0","29.01.2000 1:0:0","TTMT","0.9375","TOWER TECH INC","0.6875","0.9375","1.3636363636363635"
"09.01.2000 1:0:0","29.01.2000 1:0:0","TRBO","9.75","TURBOCHEF TECHNOLOGIES INC","7.125","8.5625","1.2017543859649122"
"09.01.2000 1:0:0","29.01.2000 1:0:0","WLK","3.1875","WATERLINK INC","2.5625","3.125","1.2195121951219512"
"09.01.2000 1:0:0","29.01.2000 1:0:0","SHS","11.0625","SAUER INC","9.3125","11.9375","1.2818791946308725"
"09.01.2000 1:0:0","29.01.2000 1:0:0","TAYD","2.8125","TAYLOR DEVICES INC","2.25","2.9375","1.3055555555555556"
"09.01.2000 1:0:0","29.01.2000 1:0:0","TRCI","2.5625","TECHNOLOGY RESEARCH CORP","1.25","2.15625","1.725"
"09.01.2000 1:0:0","29.01.2000 1:0:0","BLDP","47.6875","BALLARD POWER SYSTEMS INC","30.75","38.25","1.2439024390243902"
"09.01.2000 1:0:0","29.01.2000 1:0:0","FCL","33.0","FUELCELL ENERGY INC","22.5","29.875","1.3277777777777777"
"09.01.2000 1:0:0","29.01.2000 1:0:0","PLUG","58.8125","PLUG POWER INC","25.75","79.0","3.0679611650485437"
"09.01.2000 1:0:0","29.01.2000 1:0:0","SEW","0.625","SINGER CO N V","0.5625","0.6875","1.2222222222222223"
"09.01.2000 1:0:0","29.01.2000 1:0:0","ATV","0.875","ARC INTERNATIONAL CORPORATION","0.75","1.0","1.3333333333333333"
"09.01.2000 1:0:0","29.01.2000 1:0:0","NWST","0.65625","NEWSTAR MEDIA INC","0.53125","0.6875","1.2941176470588236"
"09.01.2000 1:0:0","29.01.2000 1:0:0","RCOT","10.75","RECOTON CORP","8.8125","10.875","1.2340425531914894"
"09.01.2000 1:0:0","29.01.2000 1:0:0","VCR","2.375","SENSORY SCIENCE CORP","1.875","2.375","1.2666666666666666"
"09.01.2000 1:0:0","29.01.2000 1:0:0","SNE","250.0","SONY CORP","216.0","276.5","1.2800925925925926"
"09.01.2000 1:0:0","29.01.2000 1:0:0","UVEW","5.5625","UNIVIEW TECHNOLOGIES CORP","4.75","5.9375","1.25"
"09.01.2000 1:0:0","29.01.2000 1:0:0","AXC","4.25","AMPEX CORP DEL","4.0","4.9375","1.234375"
"09.01.2000 1:0:0","29.01.2000 1:0:0","AMPD","6.5","AMPLIDYNE INC","5.3125","6.75","1.2705882352941176"
"09.01.2000 1:0:0","29.01.2000 1:0:0","ANCR","46.25","ANCOR COMMUNICATIONS INC","45.125","71.4375","1.5831024930747923"
"09.01.2000 1:0:0","29.01.2000 1:0:0","AUDC","74.125","AUDIOCODES LTD","71.5","87.5","1.2237762237762237"
"09.01.2000 1:0:0","29.01.2000 1:0:0","CCBL","35.84375","C COR NET CORP","30.03125","74.21875","2.4713839750260145"
"09.01.2000 1:0:0","29.01.2000 1:0:0","CIEN","64.375","CIENA CORP","45.875","57.75","1.2588555858310626"
"09.01.2000 1:0:0","29.01.2000 1:0:0","CMVT","139.125","COMVERSE TECHNOLOGY INC","125.875","153.9375","1.2229394240317775"
"09.01.2000 1:0:0","29.01.2000 1:0:0","RACE","2.9375","DATA RACE INC","2.5625","3.125","1.2195121951219512"
"09.01.2000 1:0:0","29.01.2000 1:0:0","DIGL","53.25","DIGITAL LIGHTWAVE INC","60.125","73.875","1.2286902286902286"
"09.01.2000 1:0:0","29.01.2000 1:0:0","DMIC","27.3125","DIGITAL MICROWAVE CORP","21.09375","25.375","1.202962962962963"
"09.01.2000 1:0:0","29.01.2000 1:0:0","TBUS","3.5","DIGITAL RECORDERS INC","3.125","4.1875","1.34"
"09.01.2000 1:0:0","29.01.2000 1:0:0","DYNX","1.125","DYNATEC INTERNATIONAL INC","1.03125","1.25","1.2121212121212122"
"09.01.2000 1:0:0","29.01.2000 1:0:0","DITC","114.6875","DITECH COMMUNICATIONS CORP","97.875","120.5625","1.2318007662835249"
"09.01.2000 1:0:0","29.01.2000 1:0:0","EGLO","11.0","EGLOBE INC","5.0","9.1875","1.8375"
"09.01.2000 1:0:0","29.01.2000 1:0:0","ETCIA","3.5","ELECTRONIC TELE COMMUNICATIONS","2.5","3.5","1.4"
"09.01.2000 1:0:0","29.01.2000 1:0:0","ELOT","6.75","ELOT INC","5.125","6.90625","1.3475609756097562"
"09.01.2000 1:0:0","29.01.2000 1:0:0","ERICY","62.75","ERICSSON L M TELEPHONE CO","56.5","68.0625","1.204646017699115"
"09.01.2000 1:0:0","29.01.2000 1:0:0","GEMS","12.875","GLENAYRE TECHNOLOGIES INC","9.5625","11.875","1.2418300653594772"
"09.01.2000 1:0:0","29.01.2000 1:0:0","HLIT","92.75","HARMONIC INC","75.625","92.46875","1.2227272727272727"
"09.01.2000 1:0:0","29.01.2000 1:0:0","INTI","52.75","INET TECHNOLOGIES INC","54.8125","68.5","1.2497149372862029"
"09.01.2000 1:0:0","29.01.2000 1:0:0","IDC","55.125","INTERDIGITAL COMMUNICATIONS CORP","51.0","63.0","1.2352941176470589"
"09.01.2000 1:0:0","29.01.2000 1:0:0","LU","57.875","LUCENT TECHNOLOGIES INC","53.75","77.25","1.4372093023255814"
"09.01.2000 1:0:0","29.01.2000 1:0:0","MCKC","31.25","M C K COMMUNICATIONS","22.5","29.875","1.3277777777777777"
"09.01.2000 1:0:0","29.01.2000 1:0:0","MOT","139.75","MOTOROLA INC","121.0","149.0","1.2314049586776858"
"09.01.2000 1:0:0","29.01.2000 1:0:0","NWLL","18.0","NEW TEL LTD","8.21875","31.5","3.832699619771863"
"09.01.2000 1:0:0","29.01.2000 1:0:0","NXUSF","4.8125","NEXUS TELECOMMUNICATIONS SYS LTD","3.6875","4.875","1.3220338983050848"
"09.01.2000 1:0:0","29.01.2000 1:0:0","OPTC","5.625","OPTELECOM INC","4.0625","5.125","1.2615384615384615"
"09.01.2000 1:0:0","29.01.2000 1:0:0","PSI","1.0","PORTA SYSTEMS CORP","0.875","1.0625","1.2142857142857142"
"09.01.2000 1:0:0","29.01.2000 1:0:0","PWAV","53.125","POWERWAVE TECHNOLOGIES INC","46.25","56.875","1.2297297297297298"
"09.01.2000 1:0:0","29.01.2000 1:0:0","XING","52.3125","QIAO XING UNIVERSAL TEL INC","32.125","43.375","1.350194552529183"
"09.01.2000 1:0:0","29.01.2000 1:0:0","QCOM","159.375","QUALCOMM INC","140.0625","179.3125","1.2802320392681839"
"09.01.2000 1:0:0","29.01.2000 1:0:0","RITT","9.5","R I T TECHNOLOGIES LTD","8.625","10.4375","1.210144927536232"
"09.01.2000 1:0:0","29.01.2000 1:0:0","SEAC","31.5","SEACHANGE INTERNATIONAL INC","27.75","35.5","1.2792792792792793"
"09.01.2000 1:0:0","29.01.2000 1:0:0","SPCT","20.0","SPECTRIAN CORP","22.5625","29.46875","1.3060941828254848"
"09.01.2000 1:0:0","29.01.2000 1:0:0","SCMR","294.0","SYCAMORE NETWORKS INC","257.0","311.375","1.2115758754863812"
"09.01.2000 1:0:0","29.01.2000 1:0:0","TCCO","5.25","TECHNICAL COMMUNICATIONS CORP","5.875","8.75","1.4893617021276595"
"09.01.2000 1:0:0","29.01.2000 1:0:0","TLDT","0.75","TELIDENT INC","0.625","0.8125","1.3"
"09.01.2000 1:0:0","29.01.2000 1:0:0","WRLS","14.25","TELULAR CORP","10.0625","14.8125","1.4720496894409938"
"09.01.2000 1:0:0","29.01.2000 1:0:0","TLGD","50.0","TOLLGRADE COMMUNICATIONS INC","32.75","50.75","1.549618320610687"
"09.01.2000 1:0:0","29.01.2000 1:0:0","TMWD","74.75","TUMBLEWEED COMMUNICATIONS CORP","67.0625","80.5","1.2003727865796832"
"09.01.2000 1:0:0","29.01.2000 1:0:0","EGHT","8.0","8X8 INC","5.65625","8.0","1.4143646408839778"
"09.01.2000 1:0:0","29.01.2000 1:0:0","API","4.0","ADVANCED PHOTONIX INC","2.5","3.3125","1.325"
"09.01.2000 1:0:0","29.01.2000 1:0:0","ARX","11.9375","AEROFLEX INC","9.6875","12.0625","1.2451612903225806"
